n_diff	tot_bins	prop_diff	index_cell	comp_cell
2724	6017	0.45271730098055507	AT23998-A138956A-R06-C54	AT23998-A138956A-R09-C66
1625	6162	0.26371308016877637	AT23998-A138956A-R06-C54	AT23998-A138956A-R10-C13
2150	6158	0.34913933095160765	AT23998-A138956A-R06-C54	AT23998-A138956A-R10-C21
2001	6141	0.3258426966292135	AT23998-A138956A-R06-C54	AT23998-A138956A-R10-C27
1949	6150	0.31691056910569104	AT23998-A138956A-R06-C54	AT23998-A138956A-R10-C33
1890	6162	0.30671859785783834	AT23998-A138956A-R06-C54	AT23998-A138956A-R10-C51
1393	6129	0.22728014357970305	AT23998-A138956A-R06-C54	AT23998-A138956A-R11-C09
5200	6179	0.8415601229972487	AT23998-A138956A-R06-C54	AT23998-A138956A-R11-C39
1985	6155	0.32250203086921203	AT23998-A138956A-R06-C54	AT23998-A138956A-R12-C48
1391	6127	0.2270279092541211	AT23998-A138956A-R06-C54	AT23998-A138956A-R12-C49
914	6134	0.14900554287577436	AT23998-A138956A-R06-C54	AT23998-A138956A-R13-C25
2187	6141	0.35613092330239376	AT23998-A138956A-R06-C54	AT23998-A138956A-R13-C37
5066	6094	0.8313094847390876	AT23998-A138956A-R06-C54	AT23998-A138956A-R13-C52
1411	6119	0.2305932341885929	AT23998-A138956A-R06-C54	AT23998-A138956A-R14-C12
4181	6190	0.6754442649434572	AT23998-A138956A-R06-C54	AT23998-A138956A-R14-C30
1236	6130	0.20163132137030995	AT23998-A138956A-R06-C54	AT23998-A138956A-R14-C38
1049	6146	0.17068011714936543	AT23998-A138956A-R06-C54	AT23998-A138956A-R14-C57
1181	6138	0.1924079504724666	AT23998-A138956A-R06-C54	AT23998-A138956A-R14-C65
2224	6130	0.3628058727569331	AT23998-A138956A-R06-C54	AT23998-A138956A-R15-C09
1378	6162	0.22362869198312235	AT23998-A138956A-R06-C54	AT23998-A138956A-R15-C10
5253	6181	0.8498624817990617	AT23998-A138956A-R06-C54	AT23998-A138956A-R15-C39
1020	6140	0.16612377850162866	AT23998-A138956A-R06-C54	AT23998-A138956A-R16-C13
1911	6169	0.30977467985086726	AT23998-A138956A-R07-C22	AT23998-A138956A-R08-C36
2150	6173	0.34829094443544467	AT23998-A138956A-R07-C22	AT23998-A138956A-R08-C39
1975	6167	0.3202529592994973	AT23998-A138956A-R07-C22	AT23998-A138956A-R08-C41
2962	6172	0.4799092676604018	AT23998-A138956A-R07-C22	AT23998-A138956A-R08-C60
1526	6146	0.24829157175398633	AT23998-A138956A-R07-C22	AT23998-A138956A-R08-C62
2758	6159	0.447799967527196	AT23998-A138956A-R07-C22	AT23998-A138956A-R08-C64
1690	6148	0.274886141834743	AT23998-A138956A-R07-C22	AT23998-A138956A-R09-C17
1629	6148	0.2649642160052049	AT23998-A138956A-R07-C22	AT23998-A138956A-R09-C18
2265	6153	0.3681131155533886	AT23998-A138956A-R07-C22	AT23998-A138956A-R09-C57
1892	6151	0.3075922614209072	AT23998-A138956A-R07-C22	AT23998-A138956A-R09-C63
2455	5956	0.41218938885157824	AT23998-A138956A-R07-C22	AT23998-A138956A-R09-C66
1313	6159	0.21318395843481083	AT23998-A138956A-R07-C22	AT23998-A138956A-R10-C13
2425	6160	0.39366883116883117	AT23998-A138956A-R07-C22	AT23998-A138956A-R10-C21
1816	6146	0.2954767328343638	AT23998-A138956A-R07-C22	AT23998-A138956A-R10-C27
1878	6172	0.30427738172391444	AT23998-A138956A-R07-C22	AT23998-A138956A-R10-C33
2122	6170	0.34392220421393843	AT23998-A138956A-R07-C22	AT23998-A138956A-R10-C51
1723	6151	0.2801170541375386	AT23998-A138956A-R07-C22	AT23998-A138956A-R11-C09
5396	6186	0.8722922728742322	AT23998-A138956A-R07-C22	AT23998-A138956A-R11-C39
1364	6177	0.22081916788084832	AT23998-A138956A-R07-C22	AT23998-A138956A-R12-C48
2045	6141	0.33300765347663247	AT23998-A138956A-R07-C22	AT23998-A138956A-R12-C49
1884	6165	0.3055961070559611	AT23998-A138956A-R07-C22	AT23998-A138956A-R13-C25
1419	6157	0.23046938444047427	AT23998-A138956A-R07-C22	AT23998-A138956A-R13-C37
5288	6155	0.8591389114541024	AT23998-A138956A-R07-C22	AT23998-A138956A-R13-C52
2045	6134	0.3333876752526899	AT23998-A138956A-R07-C22	AT23998-A138956A-R14-C12
3829	6179	0.6196795597993203	AT23998-A138956A-R07-C22	AT23998-A138956A-R14-C30
1953	6159	0.3170969313200195	AT23998-A138956A-R07-C22	AT23998-A138956A-R14-C38
1805	6163	0.2928768456920331	AT23998-A138956A-R07-C22	AT23998-A138956A-R14-C57
1813	6143	0.2951326713332248	AT23998-A138956A-R07-C22	AT23998-A138956A-R14-C65
1328	6156	0.2157244964262508	AT23998-A138956A-R07-C22	AT23998-A138956A-R15-C09
2052	6154	0.333441663958401	AT23998-A138956A-R07-C22	AT23998-A138956A-R15-C10
5313	6172	0.8608230719377835	AT23998-A138956A-R07-C22	AT23998-A138956A-R15-C39
1815	6156	0.2948343079922027	AT23998-A138956A-R07-C22	AT23998-A138956A-R16-C13
2265	6178	0.3666235027516996	AT23998-A138956A-R08-C36	AT23998-A138956A-R08-C39
2326	6180	0.37637540453074436	AT23998-A138956A-R08-C36	AT23998-A138956A-R08-C41
2908	6188	0.46994182288299935	AT23998-A138956A-R08-C36	AT23998-A138956A-R08-C60
1599	6149	0.26004228329809725	AT23998-A138956A-R08-C36	AT23998-A138956A-R08-C62
2907	6170	0.47115072933549434	AT23998-A138956A-R08-C36	AT23998-A138956A-R08-C64
2156	6160	0.35	AT23998-A138956A-R08-C36	AT23998-A138956A-R09-C17
1773	6161	0.28777795812368123	AT23998-A138956A-R08-C36	AT23998-A138956A-R09-C18
2629	6160	0.42678571428571427	AT23998-A138956A-R08-C36	AT23998-A138956A-R09-C57
2317	6163	0.3759532695116015	AT23998-A138956A-R08-C36	AT23998-A138956A-R09-C63
2268	5964	0.38028169014084506	AT23998-A138956A-R08-C36	AT23998-A138956A-R09-C66
2127	6172	0.3446208684381076	AT23998-A138956A-R08-C36	AT23998-A138956A-R10-C13
